Question,top_1_acc,top_3_acc
"What case defines what an offer is?
",200,66.66666667
"What is a valid offer?
",200,66.66666667
"What are the principles of an injunction
",100,33.33333333
"What underpins res ipsa loquitor principle
",200,66.66666667
"Can the liability of a subsidiary company be extended to a parent company
",200,66.66666667
"can you repeat an injunction application in the same court
",0,0
"battery and assault principles
",300,100
"the effect of failure to correct an error apparent on the face of the record of appeal
",300,100
"legal opinion on force majeure
",100,33.33333333
"Terms to dissolve a company?
",100,33.33333333
